,회사명,corp_eng_name,종목코드
20135,퍼시픽글라스,"Pacificglas, Inc",9080
20429,아이인프라,"iINFRA.Co.,Ltd",8780
20487,씨크롭,"CECROP CO.,LTD",16970
20534,외환신용카드,"Korea Exchange Bank Credit Service Co., Ltd.",38400
20536,삼화기연,"Samwha Engineering Co., Ltd",33210
20569,대흥멀티미디어통신,daeheung multimedia communication corp,37250
20647,텔슨정보통신,TelsonInformation&Communication,18180
20692,비이티,"BET CO., LTD.",36820
20825,코오롱인터내셔널,KOLON INTERNATIONAL CORP.,63510
20872,엔써커뮤니티,N'ser community Inc.,37750
20873,써미트테크놀로지,Summit Technology,39000
20877,코리아이앤디,Coreaelectronics & development.inc,27440
20882,트래픽아이티에스, ,38050
20915,호성,"HOSUNG, INC.",35870
20978,넥스텔,NEXTEL INCORPORATED.,37220
21033,쓰리알,3R,37730
21049,그로웰텔레콤,"GrowellTelecom Co., Ltd.",35780
21059,서통,SUTTONG,1150
21271,테크메이트,Techmate Corporation,43690
21309,한아시스템,"HANA SYSTEMS, INC",36020
21310,엔에스아이,"NSI, Inc",53250
21366,케이티씨텔레콤,"KTC Telecom CO., Ltd.",55810
21543,신한SIT,"SHIN HAN SIT CO.,LTD",54530
21595,스마텔,Smartel corporation,4190
21657,동방라이텍,"DONGBANG Litech CO., LTD",25690
21690,아이텍스필,i-TEX F.I.L. LTD.,8030
21699,이수세라믹,"ISU CERAMICS., LTD",32180
21705,코크렙제2호기업구조조정부동산투자회사,KOCREF CR-REIT2,70540
21880,영풍산업,YOUNG POONG MINING & CONSTRUCTION CORPORATION,2850
21890,모닷텔,"MODOTTEL Co.,Ltd.",48150
21928,광덕물산,"KWANGDUKMOOLSAN CO.,LTD",3590
21947,동원증권,Dongwon Securities,5890
21979,우주통신,"WOO JU COMMUNICATION CO., LTD.",54080
22215,기라정보통신,"Kira Information&Communications Co.,Ltd",19930
22251,텔슨전자,TelsonElectronics,27350
22253,하이콤정보통신,Hycom Data Communications Inc.,48540
22312,미래에셋굿라이프혼합형자녀를위한펀드5-1,MIRAEASSETGOODLIFEBALANCEDFUND5-1,37500
22314,한메엔에스,"HANME NS CO.,LTD",6150
22362,이지클럽,"EASYCLUB CO., LTD.",38980
22562,넷컴스토리지,NETCOM STORAGE,37010
22587,모디아,"MODIA CO., LTD.",46000
22637,성진산업,"SUNG JIN INDUSTRIAL CO., LTD.",37650
22642,아이엠아이티,"IMIT. CO., LTD.",38100
22644,맥시스템,"MAC SYSTEM CO., LTD.",36880
22699,슈마일렉트론,"SUMA Electron Co., Ltd.",56500
22983,센추리,CENTURY CORP,6750
22987,베네데스하이텍,BENEDES HI-TECH Inc,9360
22990,에스오케이,"SOK Co., Ltd.",32610
23096,세원텔레콤,Sewon Telecom Ltd.,36910
23252,한강구조조정기금,HANKANG RESTRUCTURING FUND,36060
23327,케이엔티,Korea Neo Technology Co. Ltd,36590
23448,대아리드선,"DAEA LEAD WIRE CO.,LTD",9940
23533,국민은행,Kookmin Bank ,31150
23547,월드텔레콤,"WORLD TELECOM CO.,LTD",47610
23652,업필,"Up Feel CO.,LTD.",54370
23858,화림모드,"HWARIMMODE CO.,LTD",45920
23928,대아건설,DaeaConstruction,380
23987,창민테크,"CHANG MIN TECH CO., LTD",42960
24082,씨제이엔터테인먼트,CJ Entertainment INC.,49370
24154,대백쇼핑,Debec Shopping,27700
24337,지니웍스,"GenieWorks Co.,Ltd.",36600
24355,신광기업,"SHINKWANG ENTERPRISE CO.,LTD",1580
24390,유진종합개발,YujinDevelopment&Construction,23420
24405,휘튼,"FITTON Co., Ltd",66480
24511,엠바이엔,MbyN Inc,31970
24526,두산건설, ,2950
24546,대호,DAEHO CORPORATION,1980
24585,한신코퍼레이션,HAHN SHIN CORPORATION,37120
24615,금강화섬,"KUMKANG TRADING CO.,LTD",10730
24812,우리증권,"WOORI SECURITIES CO.,LTD",1280
24846,피코소프트,"picosoft co.,ltd.",39580
24847,바이오시스,"Biosys co.,ltd",35960
24859,윌텍정보통신,Willtek corporation,39390
24873,삼도물산,SAMDO CORPORATION,2930
24956,현대멀티캡,"Hyundai MultiCAV Co.,Ltd",35910
25035,씨아이에스,Creative & Innovative System Corporation,144630
25060,코리아퍼시픽01호선박투자회사,"Korea Pacific No.01 Ship Investment Co.,Ltd.",90970
